t,t_ch,t_sim,A00,A01,A02,A03,A04,A05,A10,A11,A12,A13,A14,A15,A20,A21,A22,A23,A24,A25,A30,A31,A32,A33,A34,A35,A40,A41,A42,A43,A44,A45,A50,A51,A52,A53,A54,A55
0.0,0.0,33.94318461418152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0010000000000000002,39.14562153816223,2.130780723078816,-0.0,0.0,0.0,0.0,-0.0,0.0972376073354666,43.73756847185146,0.0,0.0,0.0,-0.11657484409487458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15162026737454062,0.06378980625329894,0.0,0.0,0.0,0.22910435846168123
0.003,0.0029999999999999988,41.520983934402466,2.1088405175863336,-0.0,0.0,0.0,0.0,-0.0,0.10213521349292776,43.74393105304743,0.0,0.0,0.0,-0.11654977318042428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15122400127785376,0.06378229342162724,0.0,0.0,0.0,0.22913096240429282
0.007,0.007000000000000005,43.786938190460205,2.105567977969041,-0.0,0.0,0.0,0.0,-0.0,0.0967800621971285,43.748391680500525,0.0,0.0,0.0,-0.11632088887944463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15121761033142073,0.06406716996150338,0.0,0.0,0.0,0.22914294119421924
0.015,0.014999999999999965,46.065675497055054,2.1045170339675026,-0.0,0.0,0.0,0.0,-0.0,0.0969136665114904,43.75196662889541,0.0,0.0,0.0,-0.1162881761780972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15120527463429176,0.06412177725839294,0.0,0.0,0.0,0.22914795658385323
0.031,0.030999999999999868,48.36046290397644,2.1094151349363544,-0.0,0.0,0.0,0.0,-0.0,0.09830683664194413,43.75107661829423,0.0,0.0,0.0,-0.1163248689714922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15127702591918596,0.06409430639286333,0.0,0.0,0.0,0.22914339669514522
0.063,0.06300000000000078,50.72616100311279,2.1266880493703084,-0.0,0.0,0.0,0.0,-0.0,0.10190107435525755,43.75988415333835,0.0,0.0,0.0,-0.11632268118290767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15155580191342546,0.06415315090863767,0.0,0.0,0.0,0.229153981936475
0.127,0.12700000000000233,53.069239139556885,2.1658421716011445,-0.0,0.0,0.0,0.0,-0.0,0.1174311993861668,43.77551986812764,0.0,0.0,0.0,-0.11658603105444493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1521432539895861,0.06399033922072285,0.0,0.0,0.0,0.22916522658385957
0.17788208126554442,0.1778820812655405,55.73135042190552,2.2678340901916503,-0.0,0.0,0.0,0.0,-0.0,0.14517552455533692,43.82680853012449,0.0,0.0,0.0,-0.116815320368742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15372394646224594,0.06436445691844359,0.0,0.0,0.0,0.22920576975430249
0.22825011136564455,0.2282501113656365,57.937397956848145,2.3182243501311572,-0.0,0.0,0.0,0.0,-0.0,0.1717070516159453,43.89125642949887,0.0,0.0,0.0,-0.11739827864298104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15471473677501976,0.06453786309269027,0.0,0.0,0.0,0.2292693058808464
