t,t_ch,t_sim,A00,A01,A02,A03,A04,A05,A10,A11,A12,A13,A14,A15,A20,A21,A22,A23,A24,A25,A30,A31,A32,A33,A34,A35,A40,A41,A42,A43,A44,A45,A50,A51,A52,A53,A54,A55
0.0,0.0,33.94990420341492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0010000000000000002,39.14905118942261,2.189948150268558,0.24559023632724303,0.0,0.0,0.0,-0.1332786608163914,-0.20089615358525598,44.06053969857257,0.0,0.0,0.0,0.07745328332060028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1328872245260183,-0.10291136701927497,0.0,0.0,0.0,0.23597226610149666
0.003,0.0029999999999999988,41.52564716339111,2.1717485846917612,0.23091294975110727,0.0,0.0,0.0,-0.1330220551861735,-0.21148966377709175,44.07178536096593,0.0,0.0,0.0,0.07815039650785714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13262427143344815,-0.10218167008569655,0.0,0.0,0.0,0.23599643639776005
0.007,0.007000000000000005,43.79124617576599,2.164457545774886,0.22786039337058514,0.0,0.0,0.0,-0.13292864042700112,-0.21466728008004157,44.07343152665177,0.0,0.0,0.0,0.07825436845469537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13249877903435953,-0.10213369037730359,0.0,0.0,0.0,0.23599793667843777
0.015,0.014999999999999965,46.06953144073486,2.1695014157020776,0.22257692377443247,0.0,0.0,0.0,-0.1330169172229993,-0.2194641187366053,44.07697866843767,0.0,0.0,0.0,0.07836871427649644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13257854649417455,-0.10204123915126728,0.0,0.0,0.0,0.23600207305246107
0.031,0.030999999999999868,48.36386775970459,2.1732632263198073,0.22476181556546987,0.0,0.0,0.0,-0.13306206801655304,-0.21768154178423776,44.07704416044589,0.0,0.0,0.0,0.07829944622369094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13263238369042762,-0.10211972913162819,0.0,0.0,0.0,0.2360005650574951
0.063,0.06300000000000078,50.72967076301575,2.182609168743196,0.21933089983954512,0.0,0.0,0.0,-0.13320960099907828,-0.22303237529218448,44.08287470194943,0.0,0.0,0.0,0.07845410865448238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13276774723392124,-0.10202172342843595,0.0,0.0,0.0,0.2360051538707286
0.127,0.12700000000000233,53.072798013687134,2.2175285012738013,0.2061481421471317,0.0,0.0,0.0,-0.13372761194531435,-0.23530567542206532,44.100450313806064,0.0,0.0,0.0,0.07883492706846923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13329611914843886,-0.10174144319777924,0.0,0.0,0.0,0.23602030395778922
0.17788208126554442,0.1778820812655405,55.73475217819214,2.280843982600543,0.19206409482043424,0.0,0.0,0.0,-0.13479301759628137,-0.2517580760357763,44.15400544094444,0.0,0.0,0.0,0.07960276002288628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13437982755393713,-0.10157701725541007,0.0,0.0,0.0,0.23606637136505226
0.22825011136564455,0.2282501113656365,57.941497802734375,2.329040950841538,0.19355872130038315,0.0,0.0,0.0,-0.1357240688615372,-0.25330725057337394,44.21149527631801,0.0,0.0,0.0,0.08020578363137694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1353967130078229,-0.10173035809616841,0.0,0.0,0.0,0.2361097935696814
