t,t_ch,t_sim
0.0,0.0,11.359007596969604
0.001,0.0010000000000000002,12.77897334098816
0.003,0.0029999999999999988,13.453816175460815
0.007,0.007000000000000005,14.232360601425171
0.015,0.014999999999999965,15.077322006225586
0.031,0.030999999999999868,15.930168628692627
0.063,0.06300000000000078,16.927643060684204
0.127,0.12700000000000233,17.812225818634033
0.18357920529842683,0.1835792052984258,18.63377594947815
0.23344785691442843,0.23344785691442482,19.440022230148315
0.2827899331622704,0.2827899331622716,20.239351749420166
0.3261118014871473,0.32611180148715946,21.039138793945312
0.3698678347275016,0.3698678347275172,21.857696771621704
0.4165602298790444,0.4165602298790652,22.68379497528076
0.46364416885202464,0.46364416885204957,23.56565284729004
0.5157049273859238,0.515704927385959,24.482452154159546
0.5698540758901222,0.5698540758901623,25.31142258644104
0.6210952818455242,0.6210952818455832,26.12199091911316
0.6723132388720804,0.6723132388721348,26.938260078430176
0.7218362162469582,0.7218362162470021,27.75150966644287
0.7692045074124276,0.7692045074124777,28.667714834213257
0.8149018493731097,0.8149018493731833,29.516756057739258
0.8594720165499181,0.8594720165500012,30.405738353729248
0.9037761593440197,0.9037761593440825,31.231455087661743
0.9481903569505786,0.948190356950648,32.03098678588867
0.9923143314180162,0.9923143314180795,32.824256896972656
1.036920347426445,1.0369203474264825,33.70929312705994
1.0815486663370824,1.0815486663371683,34.51219391822815
1.1269592128783386,1.126959212878401,35.40806221961975
1.1712158339814673,1.1712158339814884,36.25426769256592
1.212309206180682,1.2123092061806764,37.124178647994995
1.2518314117242892,1.2518314117242693,37.9442343711853
1.2913116941373275,1.291311694137273,38.7911057472229
1.331090828101008,1.3310908281009253,39.61360812187195
1.3720690906241735,1.3720690906241122,40.42739677429199
1.4149938139466083,1.414993813946544,41.231327295303345
1.4585862938849699,1.4585862938849465,42.10719895362854
1.5009576245728393,1.5009576245728262,42.98319053649902
1.5426433328595488,1.5426433328595615,43.844650983810425
1.5827866065087643,1.5827866065087919,44.67720890045166
1.6213430525829344,1.6213430525829324,45.52292060852051
1.6589236752547711,1.6589236752548002,46.32907152175903
1.696321006752881,1.696321006752901,47.22579073905945
1.7338217187423954,1.7338217187424476,48.126272201538086
1.7718900047493935,1.7718900047494435,49.00210618972778
1.8105776810704888,1.8105776810705345,49.849979400634766
1.850590954456866,1.8505909544569201,50.652716398239136
1.8925505251865442,1.8925505251865717,51.49342322349548
1.936837280152518,1.9368372801524998,52.29229760169983
1.9834665177330084,1.983466517732985,53.1284704208374
2.031924378619787,2.031924378619831,53.979854106903076
2.0809491836368568,2.0809491836368683,54.83159565925598
2.1283687968028002,2.1283687968027185,55.66475868225098
2.173990353251687,2.1739903532516114,56.496127128601074
2.2188499037269582,2.218849903726863,57.31960582733154
2.263471531230265,2.2634715312301483,58.12204837799072
2.307852174378187,2.30785217437813,59.051634550094604
2.35170609412035,2.3517060941202086,59.893847942352295
2.3949368262972572,2.394936826297039,60.74119472503662
2.4380135214424157,2.438013521442236,61.706759214401245
2.4809365441536584,2.4809365441535065,62.54897737503052
2.5232533314509733,2.523253331450804,63.43642234802246
2.56443572832476,2.564435728324664,64.25941610336304
2.604088429940743,2.604088429940571,65.09478211402893
2.6423752309713096,2.642375230971159,65.9400224685669
2.679949704951818,2.6799497049517207,66.77792739868164
2.7176089186689607,2.7176089186688266,67.60818767547607
2.7562159737480205,2.756215973747894,68.43789386749268
2.7955659166409976,2.795565916640818,69.25129771232605
2.8371343716287916,2.8371343716285975,70.07792496681213
2.8810069338380586,2.881006933837958,70.89830589294434
2.925871885576971,2.925871885576774,71.75786304473877
2.9698952618262826,2.9698952618260344,72.58083510398865
3.0125502125147627,3.0125502125145,73.38075613975525
3.0541050995566965,3.0541050995564345,74.23666834831238
3.0931066967508394,3.093106696750574,75.06780767440796
3.129575508356933,3.1295755083567136,75.8595986366272
3.1649114620978054,3.164911462097641,76.718332529068
3.2004935352607355,3.2004935352606285,77.55815625190735
3.2367166889114825,3.2367166889113896,78.46832966804504
3.2751494383860864,3.2751494383860695,79.23197770118713
3.316692350988885,3.316692350988853,80.06648325920105
3.3604019601190567,3.3604019601190473,80.9307210445404
3.403526019751468,3.4035260197513666,81.7359607219696
3.4448492643323174,3.444849264332247,82.56931638717651
3.4838361214473132,3.4838361214471765,83.37638735771179
3.52205919093746,3.522059190937244,84.20699214935303
3.5597357478595177,3.5597357478593303,84.99944353103638
3.5973617712611268,3.5973617712608807,85.82607364654541
3.6355739828091282,3.635573982808887,86.61392998695374
3.6737647625350447,3.673764762534748,87.48642802238464
3.7122720592094836,3.7122720592092073,88.2966742515564
3.7511397236132304,3.75113972361301,89.13574147224426
3.7908817016868808,3.7908817016865934,90.07067203521729
3.8309971919604524,3.8309971919601975,90.89596605300903
3.871665053442776,3.8716650534426083,91.79701232910156
3.912695477310907,3.9126954773107685,92.58394646644592
3.9526791997457296,3.9526791997455937,93.40732407569885
3.990414336665257,3.990414336665076,94.22824954986572
4.02586501003584,4.025865010035774,95.03387093544006
4.060418224984401,4.060418224984434,95.87794876098633
4.095082227306461,4.095082227306599,96.72258710861206
4.130403270060504,4.130403270060579,97.53694343566895
4.16659794161652,4.166597941616463,98.35755038261414
4.203816161611604,4.203816161611575,99.23104095458984
4.242028760717898,4.242028760717935,100.08273482322693
4.282146857525329,4.282146857525234,100.91371726989746
4.323394499881225,4.323394499881122,101.84590792655945
4.364851824781458,4.364851824781308,102.68323516845703
4.4057821354213855,4.4057821354213536,103.57801079750061
4.445438200546362,4.445438200546316,104.47612762451172
