t,t_ch,t_sim,x,y,z,rotq_e0,rotq_e1,rotq_e2,rotq_e3,Fx,Fy,Fz,Fx_prot,Fy_prot,Fz_prot,Fx_applied,Fy_applied,Fz_applied,Fx_Aij,Fy_Aij,Fz_Aij,Mx,My,Mz,Mx_prot,My_prot,Mz_prot,Mx_applied,My_applied,Mz_applied,ax,ay,az,ux,uy,uz,ang_ax,ang_ay,ang_az,ang_ux,ang_uy,ang_uz,hx,hy,hz
0.2952274260775521,0.2952274260775476,53.77899503707886,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31240086007648515,0.3124008600764774,56.102763652801514,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32967316170198024,0.32967316170197525,58.48685550689697,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3471299736636869,0.3471299736636817,60.84821057319641,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3648665095300184,0.3648665095300101,63.24614334106445,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3830007528018549,0.3830007528018492,65.56387710571289,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4016609098320065,0.4016609098320031,67.98305892944336,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4210035465420445,0.4210035465420364,70.53940749168396,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4412031924184073,0.4412031924183948,73.55096936225891,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46243582093410085,0.4624358209340833,75.86319470405579,1.192328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
