t,t_ch,t_sim,x,y,z,rotq_e0,rotq_e1,rotq_e2,rotq_e3,Fx,Fy,Fz,Fx_prot,Fy_prot,Fz_prot,Fx_applied,Fy_applied,Fz_applied,Fx_Aij,Fy_Aij,Fz_Aij,Mx,My,Mz,Mx_prot,My_prot,Mz_prot,Mx_applied,My_applied,Mz_applied,ax,ay,az,ux,uy,uz,ang_ax,ang_ay,ang_az,ang_ux,ang_uy,ang_uz,hx,hy,hz
0.0,0.0,33.94318461418152,0.692328,0.515,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0010000000000000002,39.14562153816223,0.6923279999999901,0.5150000700567648,0.0,0.9999999999999887,0.0,0.0,-1.494241630079916e-07,0.0,7.4814069830072185,0.0,0.09861162608051345,149.72640698300722,0.0,0.09861162608051345,149.72640698300722,0.0,0.0,0.0,0.0,0.0,0.0,-0.3065372283966213,0.0,0.0,-0.3065372283966215,0.0,0.0,-0.3065372283966215,-9.000921371008583e-08,0.12737593673505831,0.0,-3.300345028003541e-11,0.00012737593634213978,0.0,0.0,0.0,-0.5433604048726269,0.0,0.0,-0.000543360553613823,0.0,0.0,0.0
0.003,0.0029999999999999988,41.520983934402466,0.6923279999996984,0.5150004300948067,0.0,0.9999999999996109,0.0,0.0,-8.822947175358648e-07,0.0,2.463249283467576,0.0,-0.5142623682848768,139.07299656636184,0.0,-0.4756514422941168,144.70824928346758,0.0,0.03861092599076001,5.6352527171057405,0.0,0.0,0.0,-0.07972616834645695,0.0,0.0,0.03665018117115074,0.0,0.0,-0.0797261683464569,3.2506388821700745e-07,0.042007210895254055,0.0,-1.0269103914907186e-10,0.00021992587300070866,0.0,0.0,0.0,-0.14229247041044507,0.0,0.0,-0.0008680477088795218,0.0,0.0,0.0
0.007,0.007000000000000005,43.786938190460205,0.6923280000182076,0.5150011754672581,0.0,0.9999999999966122,0.0,0.0,-2.6029844251016906e-06,0.0,-1.1299293554482972,0.0,-0.5596804392785572,139.26077111080204,0.0,-0.5527476863505877,141.1150706445517,0.0,0.006932752927969429,1.854299533749662,0.0,0.0,0.0,0.0052765423536472724,0.0,0.0,0.035190623568637495,0.0,0.0,0.005276542353647273,8.817505851572241e-06,-0.01937605016688528,0.0,1.4739519135465386e-08,0.00014855986359604004,0.0,0.0,0.0,0.011231428545441064,0.0,0.0,-0.0008384251172543623,0.0,0.0,0.0
0.015,0.014999999999999965,46.065675497055054,0.6923280008627481,0.5150008878627426,0.0,0.9999999999846942,0.0,0.0,-5.53279825521404e-06,0.0,-2.6955485579800893,0.0,-0.5458044528571122,140.39849697012588,0.0,-0.5407920186240097,139.54945144201992,0.0,0.005012434233102453,-0.8490455281059704,0.0,0.0,0.0,0.012443432880474878,0.0,0.0,0.01111353400611183,0.0,0.0,0.012443432880474867,5.954639084677318e-05,-0.04622125043124181,0.0,2.613130479367497e-07,-0.000218523957938283,0.0,0.0,0.0,0.026448081161047642,0.0,0.0,-0.0006277765206655955,0.0,0.0,0.0
0.031,0.030999999999999868,48.36046290397644,0.6923280209801618,0.5149902235841483,0.0,0.9999999999542701,0.0,0.0,-9.563538033023087e-06,0.0,-3.2504232222888447,0.0,-0.5394500825543236,141.01987696248008,0.0,-0.5274076769264384,138.99457677771116,0.0,0.01204240562788519,-2.0253001847689145,0.0,0.0,0.0,0.005449192042672015,0.0,0.0,0.002360315877273461,0.0,0.0,0.005449192042671997,0.0002937142152714764,-0.05577113719999012,0.0,2.8632052776360514e-06,-0.0011098929205243808,0.0,0.0,0.0,0.014815653824936196,0.0,0.0,-0.0003841578047800631,0.0,0.0,0.0
0.063,0.06300000000000078,50.72616100311279,0.6923284004913524,0.5149251392821319,0.0,0.9999999998987018,0.0,0.0,-1.4233490653895235e-05,0.0,-3.355260735005743,0.0,-0.5008812306889018,141.33197123474807,0.0,-0.4835074800140146,138.88973926499426,0.0,0.017373750674887164,-2.442231969753811,0.0,0.0,0.0,0.0004527356087057007,0.0,0.0,0.0006800778142953524,0.0,0.0,0.00045273560870570445,0.0012374163096190566,-0.05758560589856458,0.0,2.5829226438330366e-05,-0.0029523345881428274,0.0,0.0,0.0,0.003931589929146002,0.0,0.0,-0.00021411773964682615,0.0,0.0,0.0
0.127,0.12700000000000233,53.069239139556885,0.6923345001299126,0.5146213068937411,0.0,0.9999999997999529,0.0,0.0,-2.00032539251583e-05,0.0,-3.2634561151770356,0.0,-0.33771089099901497,141.50269677713794,0.0,-0.3169682722151761,138.98154388482297,0.0,0.020742618783838873,-2.521152892314976,0.0,0.0,0.0,0.00031009848178419476,0.0,0.0,0.003282301784401843,0.0,0.0,0.0003100984817841724,0.004303469690765654,-0.05601835144249806,0.0,0.00019739583870933026,-0.006536909094484817,0.0,0.0,0.0,-0.00453085297498852,0.0,0.0,-0.00023247934625395287,0.0,0.0,0.0
0.17788208126554442,0.1778820812655405,55.73135042190552,0.6923512973810021,0.5143062628463588,0.0,0.9999999998769931,0.0,0.0,-1.5686133581481595e-05,0.0,0.8049054254531427,0.0,-0.12847328963336993,145.50385695678514,0.0,-0.10128941307998339,143.04990542545315,0.0,0.027183876553386537,-2.4539515313320037,0.0,0.0,0.0,0.0180116941418611,0.0,0.0,0.0233173288980435,0.0,0.0,0.01801169414185963,0.006999218619519252,0.01380450500583841,0.0,0.00048542010959506514,-0.005840965043952037,0.0,0.0,0.0,0.011151571210926354,0.0,0.0,0.0005118115471710479,0.0,0.0,0.0
0.22825011136564455,0.2282501113656365,57.937397956848145,0.6923856265043588,0.5140715304986211,0.0,0.9999999999837356,0.0,0.0,5.706964492335477e-06,0.0,2.7394011610771543,0.0,-0.016781713810511537,144.37861145205517,0.0,-0.006076049338297281,144.98440116107716,0.0,0.010705664472214256,0.605789709022,0.0,0.0,0.0,0.022664637988671216,0.0,0.0,0.02029989400988004,0.0,0.0,0.022664637988669373,0.00917001790537327,0.04690662656310359,0.0,0.0008953358465632661,-0.003481256096658199,0.0,0.0,0.0,0.009712002186473044,0.0,0.0,0.0011376679274524935,0.0,0.0,0.0
0.278666840055508,0.27866684005550224,60.1883180141449,0.6924430697982754,0.5139444076472325,0.0,0.99999999920396,0.0,0.0,3.990140018834095e-05,0.0,2.220188828925984,0.0,-0.02369849503174422,142.40263056376304,0.0,-0.016546113851490872,144.465188828926,0.0,0.007152381180253346,2.0625582651629366,0.0,0.0,0.0,0.0222698930410566,0.0,0.0,0.018425619985858458,0.0,0.0,0.022269893041054742,0.010393201743650996,0.037958442285486095,0.0,0.001392863120040431,-0.0015664022099452645,0.0,0.0,0.0,0.006726765851027465,0.0,0.0,0.0015468501485694462,0.0,0.0,0.0
0.32920389698665703,0.329203896986652,62.38519644737244,0.6925269079785339,0.5138999038599643,0.0,0.999999996266175,0.0,0.0,8.641581403186495e-05,0.0,1.582354654923904,0.0,-0.09002134465125511,142.1564038888474,0.0,-0.07741244137554229,143.8273546549239,0.0,0.012608903275712813,1.6709507660765113,0.0,0.0,0.0,0.024584812789510507,0.0,0.0,0.022185046765096444,0.0,0.0,0.0245848127895084,0.010410024840113354,0.027043926206571898,0.0,0.0019240804353176549,-0.0001986302531296824,0.0,0.0,0.0,0.011885899044617086,0.0,0.0,0.0021337503286432283,0.0,0.0,0.0
0.3800093809982264,0.3800093809982221,64.5161235332489,0.6926377009071744,0.5139266462675699,0.0,0.9999999892308323,0.0,0.0,0.00014675958249696515,0.0,1.6673373407932672,0.0,-0.16793739256405338,142.72200372209252,0.0,-0.1534061213516335,143.91233734079327,0.0,0.014531271212419867,1.1903336187007376,0.0,0.0,0.0,0.022790506762324164,0.0,0.0,0.019916179990185304,0.0,0.0,0.022790506762322353,0.009089881297718592,0.02849777094986528,0.0,0.002425138837621949,0.0012487526488327162,0.0,0.0,0.0,0.012098417883882594,0.0,0.0,0.0026454704405315913,0.0,0.0,0.0
0.4301299815613784,0.4301299815613633,66.46031522750854,0.6927697672271095,0.5140284639561618,0.0,0.9999999760638825,0.0,0.0,0.00021879733527529078,0.0,1.8238367358302412,0.0,-0.2592513324205529,142.81544468309255,0.0,-0.2487641352597863,144.06883673583025,0.0,0.010487197160766617,1.2533920527376854,0.0,0.0,0.0,0.020114901293838895,0.0,0.0,0.016879845439665364,0.0,0.0,0.020114901293837306,0.006655517889588566,0.031194533710147673,0.0,0.002823570402035166,0.0028114630681879207,0.0,0.0,0.0,0.013587747558705178,0.0,0.0,0.0031560310978225098,0.0,0.0,0.0
0.4767427780909003,0.4767427780908965,68.67859864234924,0.6929076159393246,0.5141903559402619,0.0,0.9999999568061225,0.0,0.0,0.00029391800541562455,0.0,1.6555659695640657,0.0,-0.36502917968722653,142.5302736849751,0.0,-0.36188455596711455,143.90056596956407,0.0,0.003144623720111971,1.3702922845889738,0.0,0.0,0.0,0.0122586536356188,0.0,0.0,0.008121739466983267,0.0,0.0,0.0122586536356178,0.003765702738363931,0.028331401099427698,0.0,0.0030679814604121867,0.004131832299703353,0.0,0.0,0.0,0.007989862792912151,0.0,0.0,0.003348074951271949,0.0,0.0,0.0
0.5225606536782597,0.5225606536782496,70.63660287857056,0.6930510719135156,0.5143973801989468,0.0,0.9999999335411175,0.0,0.0,0.0003645789384591148,0.0,0.9820979520742981,0.0,-0.3884906276440712,141.98383861816018,0.0,-0.3905297747438249,143.2270979520743,0.0,-0.002039147099753679,1.2432593339141211,0.0,0.0,0.0,-0.0014076659667903,0.0,0.0,-0.0045159315444482494,0.0,0.0,-0.0014076659667901824,0.0006868794685470396,0.01680303103527127,0.0,0.0031702157278682367,0.004902339884424468,0.0,0.0,0.0,-0.006148551183078571,0.0,0.0,0.0028818213897322067,0.0,0.0,0.0
0.5685093431132706,0.5685093431132593,72.73998737335205,0.6931963811268609,0.514628175686657,0.0,0.9999999130709446,0.0,0.0,0.00041696300262081834,0.0,0.3055415269353148,0.0,-0.3706985274612875,141.81308152116816,0.0,-0.37384298502939833,142.55054152693532,0.0,-0.0031444575681108477,0.7374600057671714,0.0,0.0,0.0,-0.015373776098629811,0.0,0.0,-0.014953077229834364,0.0,0.0,-0.015373776098628507,-0.0023150855479103396,0.005199919295534203,0.0,0.0031316751810517417,0.005141936567426191,0.0,0.0,0.0,-0.021015469132948342,0.0,0.0,0.0017394246849074732,0.0,0.0,0.0
0.61548247870174,0.6154824787017231,74.7727324962616,0.6933398948262826,0.5148648784489286,0.0,0.9999999056610562,0.0,0.0,0.0004343707211838019,0.0,-0.2524250069394611,0.0,-0.28984244141304105,141.76274773407656,0.0,-0.2935939607416227,141.99257499306054,0.0,-0.0037515193285816285,0.22982725898399917,0.0,0.0,0.0,-0.02986893621113719,0.0,0.0,-0.02574437517481996,0.0,0.0,-0.02986893621113451,-0.0049486363762276464,-0.004397398306125516,0.0,0.0029585101662833635,0.004935909999683335,0.0,0.0,0.0,-0.03803041045628162,0.0,0.0,-0.00020089142229646437,0.0,0.0,0.0
0.663834082635057,0.6638340826350666,76.96489453315735,0.6934763009683547,0.5150885749878282,0.0,0.9999999218203104,0.0,0.0,0.0003954230834121552,0.0,-0.7395272659223622,0.0,-0.17406439235943702,141.69385486277983,0.0,-0.17800356619438373,141.50547273407764,0.0,-0.00393917383494671,-0.18838212870219964,0.0,0.0,0.0,-0.04322521801059949,0.0,0.0,-0.034994204116842904,0.0,0.0,-0.04322521801059588,-0.006853419038360024,-0.012800032413139487,0.0,0.002669010276916481,0.004317551099046506,0.0,0.0,0.0,-0.05519266758038568,0.0,0.0,-0.002977292617171016,0.0,0.0,0.0
0.7138083626261248,0.7138083626261145,79.0994815826416,0.6936006221857489,0.5152805709743722,0.0,0.9999999627731757,0.0,0.0,0.00027286203044512436,0.0,-1.0983175548249733,0.0,-0.0334538891745902,141.69999248030354,0.0,-0.03652902950078392,141.14668244517503,0.0,-0.0030751403261937236,-0.553310035128497,0.0,0.0,0.0,-0.05684435619235129,0.0,0.0,-0.0444587910182929,0.0,0.0,-0.0568443561923467,-0.007693713829279368,-0.019019859087795517,0.0,0.002300189214144647,0.0033675701545189374,0.0,0.0,0.0,-0.07591516999563142,0.0,0.0,-0.006809211646579528,0.0,0.0,0.0
0.7652371577871006,0.7652371577870711,81.13420104980469,0.6937087568916236,0.5154256187553644,0.0,0.9999999994645834,0.0,0.0,3.2724228379210116e-05,0.0,-1.2246291709257093,0.0,0.13002532211987555,141.84239953278137,0.0,0.1297298265618408,141.0203708290743,0.0,-0.0002954955580347519,-0.8220287037070854,0.0,0.0,0.0,-0.06983441735086346,0.0,0.0,-0.05247244974262968,0.0,0.0,-0.0698344173508576,-0.0072989199130857225,-0.02125101875364565,0.0,0.0019092503098697147,0.0022750218393255053,0.0,0.0,0.0,-0.09926337616801008,0.0,0.0,-0.011869932653287557,0.0,0.0,0.0
0.8182551972767991,0.8182551972767906,83.11241936683655,0.6938003087844526,0.5155185360054,0.0,0.9999999349850527,0.0,0.0,-0.0003605966325454402,0.0,-1.1308600616703757,0.0,0.3118058609837233,142.03062833715276,0.0,0.31596471014333305,141.11413993832963,0.0,0.004158849159609722,-0.9164883988231414,0.0,0.0,0.0,-0.07628960975969001,0.0,0.0,-0.053409638817423805,0.0,0.0,-0.07628960975968374,-0.005772382882672938,-0.019675212063156578,0.0,0.001558588010121173,0.0012321051609798398,0.0,0.0,0.0,-0.11467200386557508,0.0,0.0,-0.017830402564319163,0.0,0.0,0.0
0.8715302456450907,0.8715302456450691,85.15460801124573,0.693876106411712,0.5155698738379171,0.0,0.999999574633699,0.0,0.0,-0.000922351591599487,0.0,-0.5692722719828964,0.0,0.5032021817920539,142.52201191253792,0.0,0.5119942622092601,141.6757277280171,0.0,0.008792080417206251,-0.8462841845208057,0.0,0.0,0.0,-0.07898232320323564,0.0,0.0,-0.05245124796660363,0.0,0.0,-0.07898232320322972,-0.0037059752150245505,-0.010035696914142012,0.0,0.0013057987720999098,0.0006969764019382056,0.0,0.0,0.0,-0.12575181626148507,0.0,0.0,-0.024383914913889047,0.0,0.0,0.0
0.9227012383307763,0.9227012383307467,87.19003391265869,0.6939388697610963,0.5156155484317027,0.0,0.9999986802796751,0.0,0.0,-0.001624635019806562,0.0,0.4616951758738139,0.0,0.768472517182029,143.13126199279145,0.0,0.7810368225378482,142.70669517587382,0.0,0.012564305355819233,-0.42456681691762543,0.0,0.0,0.0,-0.0734261207602666,0.0,0.0,-0.044600887548896746,0.0,0.0,-0.07342612076026082,-0.0020815432352704376,0.007690103353936444,0.0,0.00116140183059916,0.0010890714800587146,0.0,0.0,0.0,-0.12215640426733866,0.0,0.0,-0.030536503053113576,0.0,0.0,0.0
